#    L    TT             EE             TE             PP             TP          
     2   0.137667E-09   0.421217E-14   0.356887E-12   0.140799E-06   0.376865E-08
     3   0.130353E-09   0.539138E-14   0.398603E-12   0.216334E-06   0.449201E-08
     4   0.123351E-09   0.467694E-14   0.373731E-12   0.283499E-06   0.482515E-08
     5   0.118126E-09   0.312415E-14   0.318174E-12   0.342808E-06   0.494931E-08
     6   0.114564E-09   0.174786E-14   0.256171E-12   0.395137E-06   0.496350E-08
     7   0.112310E-09   0.942757E-15   0.201153E-12   0.441530E-06   0.491977E-08
     8   0.110960E-09   0.605215E-15   0.158972E-12   0.482832E-06   0.483873E-08
     9   0.110326E-09   0.483195E-15   0.130317E-12   0.519778E-06   0.473120E-08
    10   0.110217E-09   0.410501E-15   0.114109E-12   0.552865E-06   0.460915E-08
    11   0.110450E-09   0.344632E-15   0.108021E-12   0.582709E-06   0.448667E-08
    12   0.111122E-09   0.300796E-15   0.109459E-12   0.609440E-06   0.436672E-08
    13   0.111974E-09   0.288636E-15   0.115180E-12   0.633688E-06   0.425732E-08
    14   0.112984E-09   0.299758E-15   0.122321E-12   0.655465E-06   0.414555E-08
    15   0.114011E-09   0.323213E-15   0.129899E-12   0.675236E-06   0.403373E-08
    16   0.115296E-09   0.356418E-15   0.138144E-12   0.693126E-06   0.391713E-08
    17   0.116815E-09   0.405247E-15   0.146698E-12   0.709185E-06   0.380097E-08
    18   0.118417E-09   0.475542E-15   0.155371E-12   0.723783E-06   0.369211E-08
    19   0.120205E-09   0.567683E-15   0.164592E-12   0.736978E-06   0.358750E-08
    20   0.121958E-09   0.678727E-15   0.173704E-12   0.748819E-06   0.348993E-08
    21   0.123772E-09   0.807884E-15   0.183349E-12   0.759476E-06   0.339479E-08
    22   0.125648E-09   0.956573E-15   0.193556E-12   0.769078E-06   0.330287E-08
    23   0.127538E-09   0.112371E-14   0.203932E-12   0.777697E-06   0.321513E-08
    24   0.129482E-09   0.130880E-14   0.213993E-12   0.785381E-06   0.312947E-08
    25   0.131500E-09   0.151232E-14   0.222680E-12   0.792242E-06   0.304939E-08
    26   0.133527E-09   0.173596E-14   0.230505E-12   0.798334E-06   0.297233E-08
    27   0.135614E-09   0.198141E-14   0.237621E-12   0.803711E-06   0.289690E-08
    28   0.137742E-09   0.224793E-14   0.243417E-12   0.808431E-06   0.282490E-08
    29   0.139896E-09   0.253908E-14   0.248580E-12   0.812538E-06   0.275230E-08
    30   0.142105E-09   0.285872E-14   0.252209E-12   0.816076E-06   0.268542E-08
    31   0.144287E-09   0.320644E-14   0.255748E-12   0.818920E-06   0.261895E-08
    32   0.146552E-09   0.358439E-14   0.258496E-12   0.821363E-06   0.255682E-08
    33   0.148828E-09   0.398710E-14   0.260239E-12   0.823349E-06   0.249824E-08
    34   0.151114E-09   0.441786E-14   0.261124E-12   0.824911E-06   0.244073E-08
    35   0.153484E-09   0.487742E-14   0.259932E-12   0.826079E-06   0.238664E-08
    36   0.155819E-09   0.536927E-14   0.258045E-12   0.826878E-06   0.233212E-08
    37   0.158188E-09   0.589654E-14   0.254654E-12   0.827331E-06   0.227932E-08
    38   0.160610E-09   0.645735E-14   0.250018E-12   0.827463E-06   0.222881E-08
    39   0.163066E-09   0.705088E-14   0.244114E-12   0.827295E-06   0.218038E-08
    40   0.165542E-09   0.767690E-14   0.236709E-12   0.826847E-06   0.213382E-08
    41   0.168022E-09   0.833563E-14   0.227652E-12   0.826138E-06   0.208892E-08
    42   0.170510E-09   0.902887E-14   0.217088E-12   0.825178E-06   0.204541E-08
    43   0.173014E-09   0.975863E-14   0.205175E-12   0.823974E-06   0.200308E-08
    44   0.175546E-09   0.105260E-13   0.191801E-12   0.822534E-06   0.196204E-08
    45   0.178118E-09   0.113318E-13   0.176809E-12   0.820871E-06   0.192240E-08
    46   0.180729E-09   0.121768E-13   0.160127E-12   0.819019E-06   0.188386E-08
    47   0.183375E-09   0.130614E-13   0.141705E-12   0.817008E-06   0.184620E-08
    48   0.186046E-09   0.139851E-13   0.121481E-12   0.814845E-06   0.180995E-08
    49   0.188735E-09   0.149470E-13   0.994093E-13   0.812532E-06   0.177558E-08
    50   0.191445E-09   0.159482E-13   0.755053E-13   0.810077E-06   0.174252E-08
    51   0.194179E-09   0.169893E-13   0.498196E-13   0.807492E-06   0.171015E-08
    52   0.196933E-09   0.180705E-13   0.224797E-13   0.804783E-06   0.167851E-08
    53   0.199701E-09   0.191910E-13  -0.640168E-14   0.801959E-06   0.164776E-08
    54   0.202482E-09   0.203509E-13  -0.368517E-13   0.799030E-06   0.161796E-08
    55   0.205280E-09   0.215502E-13  -0.689494E-13   0.796008E-06   0.158905E-08
    56   0.208112E-09   0.227882E-13  -0.102844E-12   0.792895E-06   0.156071E-08
    57   0.210993E-09   0.240645E-13  -0.138679E-12   0.789691E-06   0.153274E-08
    58   0.213916E-09   0.253796E-13  -0.176510E-12   0.786402E-06   0.150561E-08
    59   0.216868E-09   0.267339E-13  -0.216346E-12   0.783031E-06   0.147982E-08
    60   0.219850E-09   0.281270E-13  -0.258084E-12   0.779586E-06   0.145508E-08
