#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
     2   0.137668E-09   0.356891E-12   0.110190E-08   0.258146E-08   0.356891E-12   0.421218E-14  -0.452675E-11  -0.169796E-11   0.110190E-08  -0.452675E-11   0.504201E-07   0.628721E-07   0.258146E-08  -0.169796E-11   0.628721E-07   0.379670E-06
     3   0.130355E-09   0.398607E-12   0.110070E-08   0.345323E-08   0.398607E-12   0.539138E-14  -0.485073E-11  -0.823664E-12   0.110070E-08  -0.485073E-11   0.612099E-07   0.111210E-06   0.345323E-08  -0.823664E-12   0.111210E-06   0.848685E-06
     4   0.123353E-09   0.373734E-12   0.107324E-08   0.423680E-08   0.373734E-12   0.467694E-14  -0.410163E-11   0.246625E-12   0.107324E-08  -0.410163E-11   0.705005E-07   0.172200E-06   0.423680E-08   0.246625E-12   0.172200E-06   0.158395E-05
     5   0.118127E-09   0.318177E-12   0.103547E-08   0.496226E-08   0.318177E-12   0.312415E-14  -0.279136E-11   0.101631E-11   0.103547E-08  -0.279136E-11   0.785657E-07   0.244457E-06   0.496226E-08   0.101631E-11   0.244457E-06   0.263715E-05
     6   0.114565E-09   0.256174E-12   0.995469E-09   0.564163E-08   0.256174E-12   0.174786E-14  -0.135422E-11   0.148109E-11   0.995469E-09  -0.135422E-11   0.855976E-07   0.326593E-06   0.564163E-08   0.148109E-11   0.326593E-06   0.405400E-05
     7   0.112311E-09   0.201155E-12   0.956648E-09   0.627243E-08   0.201155E-12   0.942757E-15  -0.121348E-12   0.172187E-11   0.956648E-09  -0.121348E-12   0.917834E-07   0.417336E-06   0.627243E-08   0.172187E-11   0.417336E-06   0.587428E-05
     8   0.110961E-09   0.158974E-12   0.918925E-09   0.685697E-08   0.158974E-12   0.605215E-15   0.697711E-12   0.180103E-11   0.918925E-09   0.697711E-12   0.972571E-07   0.515700E-06   0.685697E-08   0.180103E-11   0.515700E-06   0.813130E-05
     9   0.110327E-09   0.130319E-12   0.881916E-09   0.740141E-08   0.130319E-12   0.483195E-15   0.102978E-11   0.184571E-11   0.881916E-09   0.102978E-11   0.102130E-06   0.620808E-06   0.740141E-08   0.184571E-11   0.620808E-06   0.108561E-04
    10   0.110219E-09   0.114110E-12   0.846310E-09   0.790705E-08   0.114110E-12   0.410501E-15   0.942920E-12   0.168110E-11   0.846310E-09   0.942920E-12   0.106469E-06   0.731536E-06   0.790705E-08   0.168110E-11   0.731536E-06   0.140671E-04
    11   0.110451E-09   0.108022E-12   0.813630E-09   0.837372E-08   0.108022E-12   0.344632E-15   0.601522E-12   0.149480E-11   0.813630E-09   0.601522E-12   0.110369E-06   0.847358E-06   0.837372E-08   0.149480E-11   0.847358E-06   0.177884E-04
    12   0.111123E-09   0.109460E-12   0.783643E-09   0.879804E-08   0.109460E-12   0.300796E-15   0.177612E-12   0.191064E-11   0.783643E-09   0.177612E-12   0.113835E-06   0.967063E-06   0.879804E-08   0.191064E-11   0.967063E-06   0.220256E-04
    13   0.111975E-09   0.115181E-12   0.757238E-09   0.919700E-08   0.115181E-12   0.288636E-15  -0.207692E-12   0.240598E-11   0.757238E-09  -0.207692E-12   0.116967E-06   0.109046E-05   0.919700E-08   0.240598E-11   0.109046E-05   0.267973E-04
    14   0.112985E-09   0.122323E-12   0.731723E-09   0.957179E-08   0.122323E-12   0.299758E-15  -0.482359E-12   0.179981E-11   0.731723E-09  -0.482359E-12   0.119756E-06   0.121642E-05   0.957179E-08   0.179981E-11   0.121642E-05   0.321001E-04
    15   0.114012E-09   0.129900E-12   0.707245E-09   0.991593E-08   0.129900E-12   0.323213E-15  -0.598375E-12   0.543735E-12   0.707245E-09  -0.598375E-12   0.122274E-06   0.134478E-05   0.991593E-08   0.543735E-12   0.134478E-05   0.379456E-04
    16   0.115297E-09   0.138145E-12   0.682781E-09   0.102203E-07   0.138145E-12   0.356418E-15  -0.539579E-12   0.328480E-12   0.682781E-09  -0.539579E-12   0.124535E-06   0.147486E-05   0.102203E-07   0.328480E-12   0.147486E-05   0.443306E-04
    17   0.116816E-09   0.146699E-12   0.659098E-09   0.104900E-07   0.146699E-12   0.405247E-15  -0.352048E-12   0.155449E-11   0.659098E-09  -0.352048E-12   0.126540E-06   0.160585E-05   0.104900E-07   0.155449E-11   0.160585E-05   0.512426E-04
    18   0.118418E-09   0.155373E-12   0.637258E-09   0.107410E-07   0.155373E-12   0.475542E-15  -0.138670E-12   0.282145E-11   0.637258E-09  -0.138670E-12   0.128349E-06   0.173777E-05   0.107410E-07   0.282145E-11   0.173777E-05   0.586895E-04
    19   0.120206E-09   0.164594E-12   0.616633E-09   0.109770E-07   0.164594E-12   0.567683E-15  -0.423047E-14   0.283914E-11   0.616633E-09  -0.423047E-14   0.129965E-06   0.186998E-05   0.109770E-07   0.283914E-11   0.186998E-05   0.666579E-04
    20   0.121959E-09   0.173706E-12   0.597613E-09   0.111929E-07   0.173706E-12   0.678728E-15   0.832819E-14   0.178567E-11   0.597613E-09   0.832819E-14   0.131394E-06   0.200186E-05   0.111929E-07   0.178567E-11   0.200186E-05   0.751284E-04
    21   0.123773E-09   0.183351E-12   0.579346E-09   0.113853E-07   0.183351E-12   0.807884E-15  -0.678944E-13   0.737402E-12   0.579346E-09  -0.678944E-13   0.132660E-06   0.213330E-05   0.113853E-07   0.737402E-12   0.213330E-05   0.840979E-04
