 L        TxT           TxW1          TxW2          TxW3          TxW4          TxW5          TxW6          TxW7          TxW8          TxW9         TxW10         W1xW1         W1xW2         W1xW3         W1xW4         W1xW5         W1xW6         W1xW7         W1xW8         W1xW9         W1xW10        W2xW2         W2xW3         W2xW4         W2xW5         W2xW6         W2xW7         W2xW8         W2xW9         W2xW10        W3xW3         W3xW4         W3xW5         W3xW6         W3xW7         W3xW8         W3xW9         W3xW10        W4xW4         W4xW5         W4xW6         W4xW7         W4xW8         W4xW9         W4xW10        W5xW5         W5xW6         W5xW7         W5xW8         W5xW9         W5xW10        W6xW6         W6xW7         W6xW8         W6xW9         W6xW10        W7xW7         W7xW8         W7xW9         W7xW10        W8xW8         W8xW9         W8xW10        W9xW9         W9xW10       W10xW10      
0     0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
1     0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
2     1.478287e-10  1.693566e-08  8.773118e-09  6.448939e-09  5.056154e-09  4.085663e-09  3.344833e-09  2.739163e-09  2.213313e-09  1.725041e-09  1.156023e-09  1.671400e-05  2.466521e-06 -5.043947e-07 -4.400722e-07 -2.018652e-07 -8.918985e-08 -4.144145e-08 -1.928699e-08 -7.908135e-09 -1.465181e-09  8.196822e-06  3.179331e-06 -1.238387e-07 -5.695926e-07 -3.260630e-07 -1.442593e-07 -6.104133e-08 -2.379829e-08 -5.286852e-09  5.617532e-06  2.790826e-06  1.409778e-07 -4.930143e-07 -3.175770e-07 -1.330449e-07 -4.776935e-08 -1.093638e-08  4.225399e-06  2.307126e-06  1.831669e-07 -4.158790e-07 -2.562604e-07 -8.979422e-08 -1.973619e-08  3.331425e-06  1.863344e-06  1.041554e-07 -3.512705e-07 -1.661758e-07 -3.448167e-08  2.692254e-06  1.445753e-06 -3.818985e-08 -2.631984e-07 -6.188282e-08  2.184237e-06  1.028991e-06 -1.725908e-07 -1.143017e-07  1.744568e-06  5.743700e-07 -1.644131e-07  1.287320e-06  1.223550e-07  5.717862e-07
3     6.995625e-11  1.109813e-08  5.955183e-09  4.383643e-09  3.431324e-09  2.765236e-09  2.256782e-09  1.842402e-09  1.484658e-09  1.155715e-09  7.825847e-10  1.979784e-05  3.316570e-06 -1.964136e-07 -3.099628e-07 -1.395479e-07 -5.703867e-08 -2.454014e-08 -1.085423e-08 -4.547960e-09 -1.314456e-09  9.106035e-06  3.717761e-06  1.499454e-07 -4.334598e-07 -2.566081e-07 -1.083588e-07 -4.334237e-08 -1.662539e-08 -4.494429e-09  6.111356e-06  3.128778e-06  3.368757e-07 -3.884540e-07 -2.638553e-07 -1.068527e-07 -3.700471e-08 -9.279602e-09  4.534864e-06  2.532130e-06  3.204591e-07 -3.419836e-07 -2.202631e-07 -7.494189e-08 -1.693405e-08  3.538876e-06  2.017846e-06  1.984692e-07 -3.031766e-07 -1.461669e-07 -3.018056e-08  2.835694e-06  1.552223e-06  2.343194e-08 -2.363288e-07 -5.556298e-08  2.283779e-06  1.100435e-06 -1.368580e-07 -1.050998e-07  1.812175e-06  6.186405e-07 -1.508323e-07  1.330536e-06  1.422909e-07  5.917250e-07
4     3.968408e-11  7.912891e-09  4.402989e-09  3.254942e-09  2.550394e-09  2.053735e-09  1.672757e-09  1.362021e-09  1.094589e-09  8.501956e-10  5.770471e-10  2.237416e-05  4.085752e-06  6.129830e-08 -2.117715e-07 -9.677355e-08 -3.657461e-08 -1.433990e-08 -5.792583e-09 -2.213704e-09 -6.775199e-10  1.003007e-05  4.262797e-06  4.149857e-07 -3.100985e-07 -1.977791e-07 -7.938775e-08 -2.913307e-08 -1.023391e-08 -2.656393e-09  6.634208e-06  3.485971e-06  5.380603e-07 -2.857502e-07 -2.133145e-07 -8.258900e-08 -2.632584e-08 -6.248781e-09  4.872206e-06  2.777714e-06  4.675632e-07 -2.650649e-07 -1.834609e-07 -5.907321e-08 -1.247713e-08  3.771254e-06  2.191650e-06  3.034779e-07 -2.503024e-07 -1.236215e-07 -2.391681e-08  3.000956e-06  1.675817e-06  9.486332e-08 -2.047882e-07 -4.689536e-08  2.402045e-06  1.186255e-06 -9.350029e-08 -9.296476e-08  1.895165e-06  6.737174e-07 -1.332753e-07  1.385195e-06  1.679448e-07  6.176236e-07
5     2.530696e-11  5.942671e-09  3.429651e-09  2.549293e-09  2.002095e-09  1.613709e-09  1.314301e-09  1.069089e-09  8.572847e-10  6.635288e-10  4.490606e-10  2.446379e-05  4.769066e-06  2.762274e-07 -1.376738e-07 -6.768201e-08 -2.383980e-08 -8.484613e-09 -3.145058e-09 -1.067234e-09 -2.763565e-10  1.092710e-05  4.790278e-06  6.610202e-07 -2.031800e-07 -1.508630e-07 -5.817850e-08 -1.953152e-08 -6.167548e-09 -1.403614e-09  7.159763e-06  3.843777e-06  7.332908e-07 -1.915410e-07 -1.702173e-07 -6.339737e-08 -1.834825e-08 -3.844367e-09  5.218689e-06  3.029054e-06  6.140667e-07 -1.921993e-07 -1.508253e-07 -4.582715e-08 -8.582180e-09  4.013909e-06  2.372585e-06  4.100953e-07 -1.990943e-07 -1.029849e-07 -1.804109e-08  3.176200e-06  1.806550e-06  1.686205e-07 -1.735797e-07 -3.826404e-08  2.529517e-06  1.278652e-06 -4.782521e-08 -8.022196e-08  1.986471e-06  7.344254e-07 -1.139490e-07  1.447056e-06  1.973280e-07  6.480920e-07
6     1.751008e-11  4.620169e-09  2.764193e-09  2.069337e-09  1.630535e-09  1.316243e-09  1.072891e-09  8.733076e-10  7.006105e-10  5.419805e-10  3.661397e-10  2.611549e-05  5.370100e-06  4.565463e-07 -8.078117e-08 -4.758302e-08 -1.583656e-08 -5.030624e-09 -1.663156e-09 -4.922945e-10 -6.607583e-11  1.177502e-05  5.288738e-06  8.853668e-07 -1.116678e-07 -1.138281e-07 -4.284057e-08 -1.321949e-08 -3.786711e-09 -7.240437e-10  7.673032e-06  4.192435e-06  9.182991e-07 -1.068308e-07 -1.342262e-07 -4.872896e-08 -1.283798e-08 -2.361374e-09  5.563964e-06  3.278771e-06  7.559443e-07 -1.251210e-07 -1.229585e-07 -3.552141e-08 -5.858702e-09  4.259266e-06  2.554837e-06  5.147240e-07 -1.514869e-07 -8.534554e-08 -1.349529e-08  3.355485e-06  1.939672e-06  2.415387e-07 -1.446795e-07 -3.098753e-08  2.661321e-06  1.373591e-06 -2.660416e-09 -6.859013e-08  2.081890e-06  7.972958e-07 -9.493621e-08  1.512596e-06  2.281219e-07  6.812869e-07
7     1.285950e-11  3.683712e-09  2.280867e-09  1.720604e-09  1.361566e-09  1.101848e-09  8.994104e-10  7.326944e-10  5.880317e-10  4.551540e-10  3.079103e-10  2.737770e-05  5.892236e-06  6.066880e-07 -3.736039e-08 -3.388985e-08 -1.105411e-08 -3.212683e-09 -9.415593e-10 -2.623315e-10 -3.112450e-11  1.256271e-05  5.752187e-06  1.086602e-06 -3.491335e-08 -8.539518e-08 -3.211546e-08 -9.195677e-09 -2.447791e-09 -4.106495e-10  8.166149e-06  4.526554e-06  1.090402e-06 -3.248628e-08 -1.051258e-07 -3.787065e-08 -9.162234e-09 -1.556759e-09  5.902287e-06  3.522716e-06  8.908948e-07 -6.483519e-08 -1.000681e-07 -2.786913e-08 -4.078911e-09  4.503225e-06  2.735383e-06  6.155924e-07 -1.083721e-07 -7.102281e-08 -1.022567e-08  3.535814e-06  2.072917e-06  3.122768e-07 -1.187917e-07 -2.538354e-08  2.795193e-06  1.469371e-06  4.099314e-08 -5.871692e-08  2.179685e-06  8.609845e-07 -7.714013e-08  1.580309e-06  2.591278e-07  7.158624e-07
8     9.871602e-12  2.996236e-09  1.918423e-09  1.457613e-09  1.157861e-09  9.393467e-10  7.683434e-10  6.270291e-10  5.036932e-10  3.896444e-10  2.634368e-10  2.830828e-05  6.346007e-06  7.352105e-07 -2.205885e-09 -2.369603e-08 -7.870125e-09 -2.168576e-09 -6.028394e-10 -1.866781e-10 -4.046953e-11  1.328074e-05  6.178282e-06  1.268674e-06  3.175681e-08 -6.231354e-08 -2.411104e-08 -6.382416e-09 -1.552468e-09 -2.854448e-10  8.630333e-06  4.841763e-06  1.250289e-06  3.425952e-08 -8.043948e-08 -2.939403e-08 -6.523876e-09 -9.976227e-10  6.226619e-06  3.756533e-06  1.018243e-06 -9.753004e-09 -8.020771e-08 -2.181791e-08 -2.848884e-09  4.740205e-06  2.910540e-06  7.117833e-07 -6.871031e-08 -5.858857e-08 -7.754214e-09  3.712928e-06  2.203433e-06  3.800847e-07 -9.509663e-08 -2.066946e-08  2.927921e-06  1.563875e-06  8.275869e-08 -4.989321e-08  2.277483e-06  9.241059e-07 -6.042703e-08  1.648573e-06  2.897104e-07  7.508330e-07
9     7.845047e-12  2.475797e-09  1.638509e-09  1.254394e-09  1.000056e-09  8.130236e-10  6.660976e-10  5.444422e-10  4.379767e-10  3.390937e-10  2.289766e-10  2.896043e-05  6.738645e-06  8.452888e-07  2.639488e-08 -1.599268e-08 -5.652141e-09 -1.501648e-09 -3.991871e-10 -1.172166e-10 -2.400238e-11  1.393237e-05  6.568434e-06  1.432619e-06  8.946548e-08 -4.354466e-08 -1.817897e-08 -4.554553e-09 -1.011734e-09 -1.972149e-10  9.066042e-06  5.138273e-06  1.398178e-06  9.373618e-08 -5.968758e-08 -2.280698e-08 -4.680166e-09 -6.659286e-10  6.536966e-06  3.980159e-06  1.137881e-06  4.001191e-08 -6.330297e-08 -1.701411e-08 -2.013871e-09  4.969974e-06  3.080056e-06  8.030800e-07 -3.268989e-08 -4.804184e-08 -5.845040e-09  3.886484e-06  2.330959e-06  4.448025e-07 -7.375088e-08 -1.678608e-08  3.059210e-06  1.656909e-06  1.225130e-07 -4.220328e-08  2.375040e-06  9.865117e-07 -4.487442e-08  1.717206e-06  3.198176e-07  7.861358e-07
