# L TxT TxW1 TxW2 TxW3 TxW4 TxW5 TxW6 TxW7 TxW8 TxW9 TxW10 W1xW1 W1xW2 W1xW3 W1xW4 W1xW5 W1xW6 W1xW7 W1xW8 W1xW9 W1xW10 W2xW2 W2xW3 W2xW4 W2xW5 W2xW6 W2xW7 W2xW8 W2xW9 W2xW10 W3xW3 W3xW4 W3xW5 W3xW6 W3xW7 W3xW8 W3xW9 W3xW10 W4xW4 W4xW5 W4xW6 W4xW7 W4xW8 W4xW9 W4xW10 W5xW5 W5xW6 W5xW7 W5xW8 W5xW9 W5xW10 W6xW6 W6xW7 W6xW8 W6xW9 W6xW10 W7xW7 W7xW8 W7xW9 W7xW10 W8xW8 W8xW9 W8xW10 W9xW9 W9xW10 W10xW10
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.478306789103556769e-10 1.695315784631266824e-08 8.783936625248613605e-09 6.456223118104880936e-09 5.061276867558107447e-09 4.089405232485599050e-09 3.345043638573486029e-09 2.737079564704619437e-09 2.211795664666494608e-09 1.723871618247015626e-09 1.155161001976582896e-09 1.676863444393590402e-05 2.474328937948809048e-06 -5.047773111249757781e-07 -4.405480135809479258e-07 -2.020003802895765410e-07 -8.897548047088715695e-08 -4.121075636587889834e-08 -1.919101805773419453e-08 -7.870430284702904446e-09 -1.454994382801102417e-09 8.211728964582927346e-06 3.184128556457051747e-06 -1.240787177033912088e-07 -5.699664463089622420e-07 -3.252203577079241650e-07 -1.433213692266378051e-07 -6.069527452408825881e-08 -2.367767435524277321e-08 -5.255772510442325063e-09 5.625606468415904334e-06 2.793943033207872242e-06 1.407673327970256498e-07 -4.929545188774813014e-07 -3.158930440140251013e-07 -1.322483756117601936e-07 -4.752266534195712419e-08 -1.087883590273358871e-08 4.230329948575815300e-06 2.309171774618236378e-06 1.787523946710500582e-07 -4.164443075275705489e-07 -2.549634820934702772e-07 -8.930434532607655386e-08 -1.963748716318425115e-08 3.334652150003202085e-06 1.856149714384349487e-06 9.537734988251484284e-08 -3.512319719053883876e-07 -1.653213306136186268e-07 -3.430865035860021329e-08 2.688733615582630184e-06 1.438170463341575094e-06 -4.046448223648572823e-08 -2.627497275910197363e-07 -6.173329167512043507e-08 2.182271919414419491e-06 1.028088864671931965e-06 -1.725576965414940132e-07 -1.142842937111814326e-07 1.742591803357760529e-06 5.735676376874587408e-07 -1.643978971322278891e-07 1.284979536612493832e-06 1.215720142555435101e-07 5.692598141820429614e-07
3.000000000000000000e+00 6.995694573203211791e-11 1.110898668310910538e-08 5.962431449270572390e-09 4.388613070248163316e-09 3.434843190608070026e-09 2.767809466258045525e-09 2.256928388988805662e-09 1.840982688349081268e-09 1.483634569998587654e-09 1.154935963318234964e-09 7.820254380245339730e-10 1.986168952492846547e-05 3.326974239271630672e-06 -1.960498326606211767e-07 -3.102010609961194731e-07 -1.395977591910143500e-07 -5.686516284556579223e-08 -2.437894661128792400e-08 -1.079141806183716523e-08 -4.524442051516988832e-09 -1.307843736721909720e-09 9.123273195715238674e-06 3.723777193332083917e-06 1.502006241242943777e-07 -4.336446565098528073e-07 -2.558549309748064856e-07 -1.075704935786097065e-07 -4.306623965100791405e-08 -1.653461101518290071e-08 -4.471445280885222187e-09 6.120529813811529281e-06 3.132562727211343064e-06 3.369874686390354066e-07 -3.885013000696766876e-07 -2.623880870500419700e-07 -1.061547384509623553e-07 -3.679925775017887560e-08 -9.234113548298910482e-09 4.540391330881938614e-06 2.534567175148147637e-06 3.159542477270568389e-07 -3.428288127367018619e-07 -2.190997293420934657e-07 -7.450648763896394787e-08 -1.685147868023716811e-08 3.542456514354422704e-06 2.010639742782652753e-06 1.894038174562994985e-07 -3.033078024255865179e-07 -1.453839993182151075e-07 -3.002843467856290691e-08 2.832143950052051799e-06 1.544460092331551847e-06 2.102672503825836922e-08 -2.359391745314350639e-07 -5.543042677722009884e-08 2.281679529834550507e-06 1.099445965482207587e-06 -1.368608826133782396e-07 -1.050921836050921218e-07 1.810119489052463008e-06 6.177908783647554526e-07 -1.508316446593359677e-07 1.328145938560976607e-06 1.414828750020450488e-07 5.891706549298403351e-07
4.000000000000000000e+00 3.968437130174112351e-11 7.920185836060451213e-09 4.408237304843035819e-09 3.258599069850425159e-09 2.553008611714285775e-09 2.055661880649100633e-09 1.672870313804497255e-09 1.360960168954801829e-09 1.093826379835372798e-09 8.496182734478312286e-10 5.766421779767834076e-10 2.244504950547925436e-05 4.098369671209945800e-06 6.223524943686955535e-08 -2.118602771497005448e-07 -9.678269443843468479e-08 -3.644150083865507253e-08 -1.423037713338360345e-08 -5.753509629208034248e-09 -2.200416485307496218e-09 -6.741582675651512910e-10 1.004951027835458271e-05 4.269954282458969625e-06 4.156649540913553905e-07 -3.101485726011775738e-07 -1.971365419760157657e-07 -7.874337846977201690e-08 -2.892075162759370788e-08 -1.016957582516339657e-08 -2.641480942050074826e-09 6.644476127469440890e-06 3.490410743770581210e-06 5.384645473938261117e-07 -2.859460318885098660e-07 -2.120840764748008704e-07 -8.199363319942075693e-08 -2.616153381254289686e-08 -6.215494380386804212e-09 4.878341922240507995e-06 2.780544253537791606e-06 4.629211594527010344e-07 -2.662382746977389098e-07 -1.824480229123250731e-07 -5.869649985372014851e-08 -1.241159045732353442e-08 3.775200576428888623e-06 2.184402330705859217e-06 2.940616177888305242e-07 -2.506358605638231835e-07 -1.229202229117837484e-07 -2.378757487780934430e-08 2.997367407464701673e-06 1.667844410640998847e-06 9.230590619812505225e-08 -2.044648200361200065e-07 -4.678145846272805163e-08 2.399799632659720740e-06 1.185173878688947380e-06 -9.353993262101781649e-08 -9.296758048048615027e-08 1.893019565609314689e-06 6.728143581948867504e-07 -1.332913260086278944e-07 1.382745021151069023e-06 1.671065694298554965e-07 6.150354785245019533e-07
5.000000000000000000e+00 2.530709431554930624e-11 5.947793478106684893e-09 3.433640185511019404e-09 2.552126477303012758e-09 2.004134356446040180e-09 1.615217289854005575e-09 1.314387891209026991e-09 1.068252104933007341e-09 8.566830009852447027e-10 6.630736686217718031e-10 4.487449937389571211e-10 2.453979963151877900e-05 4.783536934859744755e-06 2.776113115719341690e-07 -1.376653095787813366e-07 -6.767283065851119848e-08 -2.373987097150783798e-08 -8.410524041039828722e-09 -3.120973930223561855e-09 -1.059763870253859188e-09 -2.747141344890574533e-10 1.094854778213953786e-05 4.798468112389241537e-06 6.620537535445494724e-07 -2.031354666030012416e-07 -1.503332769355403155e-07 -5.766010157510541791e-08 -1.937120807018556229e-08 -6.123421883904837226e-09 -1.394573611676014980e-09 7.171074761554922699e-06 3.848836210059705826e-06 7.339548886019101099e-07 -1.919093028458325544e-07 -1.692242974284824946e-07 -6.289796500839174457e-08 -1.821957169258841984e-08 -3.821197949756258169e-09 5.225421876433089776e-06 3.032265169543667176e-06 6.092515504094651935e-07 -1.937283574916611980e-07 -1.499675475864243693e-07 -4.550659085948498021e-08 -8.531845965954559992e-09 4.018220653894767679e-06 2.365268709707694259e-06 4.002825560401483980e-07 -1.996499037515500034e-07 -1.023681767711710589e-07 -1.793373966532938477e-08 3.172562872610601399e-06 1.798346354743477891e-06 1.658977039038039828e-07 -1.733243935057772102e-07 -3.816730310060776855e-08 2.527123693470977625e-06 1.277479378475647112e-06 -4.789712794790714597e-08 -8.023229055390150574e-08 1.984233742227858423e-06 7.334694699216378578e-07 -1.139799667226448765e-07 1.444543485307170548e-06 1.964582582717074511e-07 6.454661128783019099e-07
6.000000000000000000e+00 1.751014348989196111e-11 4.623872659868055943e-09 2.767301859065160757e-09 2.071597291827890365e-09 1.632182603312825312e-09 1.317469438360122075e-09 1.072962496649286507e-09 8.726252292655049379e-10 7.001179965849624464e-10 5.416075647672442625e-10 3.658825057451921498e-10 2.619494667442058344e-05 5.386097210711904748e-06 4.582823638464941751e-07 -8.070620031310397442e-08 -4.756576782392568239e-08 -1.576206814297744853e-08 -4.979985225422210782e-09 -1.648154217858878265e-09 -4.879696758783153889e-10 -6.529136137321673731e-11 1.179823612962806397e-05 5.297842752900860609e-06 8.866936112152470900e-07 -1.115590391049549351e-07 -1.134060614257117707e-07 -4.242809906303170822e-08 -1.309926712343789579e-08 -3.756643369175111799e-09 -7.184135357014775250e-10 7.685310121616341516e-06 4.198064188771819589e-06 9.191892501689945012e-07 -1.073833107698374637e-07 -1.334604480009067115e-07 -4.831504912706983656e-08 -1.273848472489440450e-08 -2.345453839611967244e-09 5.571264533629556721e-06 3.282342991143581501e-06 7.509303757116073595e-07 -1.270173678381967389e-07 -1.222527808623450255e-07 -3.525156612813497286e-08 -5.820657639104760487e-09 4.263933169569744318e-06 2.547429779065825981e-06 5.044837360334932458e-07 -1.522746738601592948e-07 -8.481151659772209692e-08 -1.340717676141056593e-08 3.351792766290151189e-06 1.931223116064313761e-06 2.386420853323460470e-07 -1.444918429463650870e-07 -3.090577831499852431e-08 2.658779170407684894e-06 1.372328006687726723e-06 -2.760440988265061972e-09 -6.860512239896310978e-08 2.079561298094463197e-06 7.962885132768500168e-07 -9.497948025172540751e-08 1.510019917030529484e-06 2.272213491257107428e-07 6.786220965628522860e-07
7.000000000000000000e+00 1.285953967227845599e-11 3.686461142914234451e-09 2.283351512517557576e-09 1.722440797575443613e-09 1.362918505993578481e-09 1.102864335407462791e-09 8.994704615833635674e-10 7.321258472326134468e-10 5.876195992203326006e-10 4.548405221244054121e-10 3.076944291414510289e-10 2.745921082998430547e-05 5.909466049922158738e-06 6.086991201285608362e-07 -3.724035224721332966e-08 -3.386951495082110739e-08 -1.099810892522191338e-08 -3.177019078659900294e-09 -9.318947391425799349e-10 -2.598419864748828909e-10 -3.075414710724575655e-11 1.258744148859534273e-05 5.762085025837998131e-06 1.088167744223208539e-06 -3.476191629530794236e-08 -8.506934551418723432e-08 -3.178813147227051074e-08 -9.104974606859904422e-09 -2.426758193006672078e-09 -4.070374992287542213e-10 8.179307333480429469e-06 4.532699000783684626e-06 1.091483660854188118e-06 -3.322750161332814756e-08 -1.045683846077126855e-07 -3.752804841823857728e-08 -9.085666430225918056e-09 -1.545648208207938040e-09 5.910118569677161637e-06 3.526622442030469602e-06 8.856600729630972670e-07 -6.710275751163993589e-08 -9.950514298204139860e-08 -2.764129047701578822e-08 -4.050577698881470222e-09 4.508230767934890380e-06 2.727862694901799717e-06 6.049006774581975404e-07 -1.093978176222444014e-07 -7.056630764056972512e-08 -1.015272709577856549e-08 3.532061379179763907e-06 2.064212605490124556e-06 3.092006159509946446e-07 -1.186702201658626637e-07 -2.531410949406400077e-08 2.792505900374592446e-06 1.468020639664758843e-06 4.086915637235319907e-08 -5.873447667849833313e-08 2.177264057619064461e-06 8.599276563819691556e-07 -7.719342102889629106e-08 1.577670141490821024e-06 2.581974926328966428e-07 7.131581874240258077e-07
8.000000000000000000e+00 9.871627786867236264e-12 2.998309966160848633e-09 1.920456043043441433e-09 1.459144536828811369e-09 1.158995457643754177e-09 9.402011657691158827e-10 7.683919780817818092e-10 6.265453743757913600e-10 5.033410266920086518e-10 3.893759661237577111e-10 2.632516834412606524e-10 2.839070252281544155e-05 6.364220497259913024e-06 7.374421833344009269e-07 -2.053768983970078204e-09 -2.367494343684364396e-08 -7.828302183495029722e-09 -2.143548354146107987e-09 -5.967298135417323502e-10 -1.851528019472077343e-10 -4.013603625096024779e-11 1.330674960658764918e-05 6.188859453066644055e-06 1.270437233270084086e-06 3.193780166874133682e-08 -6.207444779284063697e-08 -2.385390508220416625e-08 -6.314054507679400376e-09 -1.538486852714381349e-09 -2.832725956086218396e-10 8.644275140521654138e-06 4.848369589240907752e-06 1.251536985489823077e-06 3.333293778498233890e-08 -8.007606372839792169e-08 -2.911421344607808646e-08 -6.464485147914065543e-09 -9.901160522338071084e-10 6.234938445061768847e-06 3.760745450097641473e-06 1.012780675698695198e-06 -1.238148945921588374e-08 -7.977943341870982464e-08 -2.162822425072405735e-08 -2.827476585906081471e-09 4.745527404401794754e-06 2.902894722236718073e-06 7.006368835213850706e-07 -6.996888038444296043e-08 -5.820499415145927368e-08 -7.694816801211260341e-09 3.709110906703262395e-06 2.194472620252571365e-06 3.768299866925909110e-07 -9.503806344686781935e-08 -2.061113777481938071e-08 2.925094097241878552e-06 1.562442469454441292e-06 8.261382818739480240e-08 -4.991245521545666719e-08 2.274973654118261220e-06 9.230019933383398164e-07 -6.048908086934819459e-08 1.645870601745162587e-06 2.887512768087558043e-07 7.480893516524899128e-07
9.000000000000000000e+00 7.845064574811652340e-12 2.477372641988259163e-09 1.640185430377336025e-09 1.255687462172414403e-09 1.001026102647144020e-09 8.137586252472140582e-10 6.661406548396371408e-10 5.440250778954035767e-10 4.376705019378512240e-10 3.388595626083350398e-10 2.288153026095657627e-10 2.904283667402766139e-05 6.757626248346525232e-06 8.476974661110176108e-07 2.657013431059334855e-08 -1.597214841913628416e-08 -5.620819699257413434e-09 -1.483669086592497280e-09 -3.951009940468518748e-10 -1.162203924962430530e-10 -2.372870883342465551e-11 1.395943606644861902e-05 6.579586375771474951e-06 1.434543163259332020e-06 8.966567015788257158e-08 -4.338267028682962818e-08 -1.798008058543339449e-08 -4.502959816987624055e-09 -1.002150353791574456e-09 -1.958798666728844286e-10 9.080676313907156286e-06 5.145288687668651871e-06 1.399568724739944010e-06 9.263104284779661123e-08 -5.950034281710346812e-08 -2.258132849104677175e-08 -4.634676509743264571e-09 -6.607308070531071761e-10 6.545730231548541013e-06 3.984650055698040623e-06 1.132186585330030376e-06 3.703446170047579683e-08 -6.299831731017824198e-08 -1.685740724356645881e-08 -1.998023378298718873e-09 4.975591271215905785e-06 3.072273582891926850e-06 7.914758069506003776e-07 -3.417576283767575907e-08 -4.772458308433385761e-08 -5.797144919791423201e-09 3.882598258447720578e-06 2.321741460057104618e-06 4.413701822780213722e-07 -7.375179361222563480e-08 -1.673721098480788905e-08 3.056249215281879831e-06 1.655398586350220826e-06 1.223504909031681081e-07 -4.222336962910747229e-08 2.372444848102469378e-06 9.853634182710255437e-07 -4.494373175696960050e-08 1.714442916971619087e-06 3.188309231906495040e-07 7.833529721944640122e-07
