# L TxT TxW1 TxW2 TxW3 W1xW1 W1xW2 W1xW3 W2xW2 W2xW3 W3xW3
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.478291899497970961e-10 1.051450738156600741e-08 3.786689779077106456e-09 1.871998566769786282e-09 4.074140559131293437e-06 1.742329168058968274e-08 -5.096200529618399749e-08 1.748516234539729275e-06 -3.276474909275874875e-08 6.095468066789259278e-07
3.000000000000000000e+00 6.995638371897777190e-11 6.998920046317743130e-09 2.560350908017281029e-09 1.260003832499979376e-09 4.896571387632486616e-06 1.290400471353686841e-07 -3.956085984154950484e-08 1.902934688414605971e-06 3.527707246858610773e-09 6.489005991951552225e-07
4.000000000000000000e+00 3.968412143979121311e-11 5.077274902622071236e-09 1.899914539790305028e-09 9.297407480849796552e-10 5.635895608058528135e-06 2.342320037764455495e-07 -2.940523936179588369e-08 2.075293223993981241e-06 4.508994925100957390e-08 6.975364240749914097e-07
5.000000000000000000e+00 2.530697430980523986e-11 3.882882767822379488e-09 1.492490261511655615e-09 7.273177749039216700e-10 6.285087855956173845e-06 3.300451361020767928e-07 -2.186771671104098681e-08 2.253607912921062585e-06 8.671721863248293441e-08 7.512610676007820708e-07
6.000000000000000000e+00 1.751008514184906099e-11 3.075883371356597556e-09 1.217593122243445935e-09 5.943488371402103083e-10 6.847396746937581324e-06 4.167636571801013453e-07 -1.640799500683019127e-08 2.432227911214238675e-06 1.264423239843407421e-07 8.069203511775612714e-07
7.000000000000000000e+00 1.285950501301922502e-11 2.498203530270687540e-09 1.019527181667027371e-09 4.992624984803009469e-10 7.327643107141660050e-06 4.944718711665128246e-07 -1.256688529217142782e-08 2.608179499748454970e-06 1.635682388454787103e-07 8.631335479859149867e-07
8.000000000000000000e+00 9.871601238574987011e-12 2.069582472582678568e-09 8.697017253821496233e-10 4.275711211848772167e-10 7.734938734895949473e-06 5.651023015679741114e-07 -9.630949082624034613e-09 2.778220631428694298e-06 1.985059568129851246e-07 9.187878845089356015e-07
9.000000000000000000e+00 7.845046124492054320e-12 1.742150228158951367e-09 7.531124159780494665e-10 3.718732911220986285e-10 8.078355925098170819e-06 6.293097243247986678e-07 -7.379921594557367859e-09 2.942144483932363751e-06 2.312255249586650895e-07 9.737548141356200204e-07
1.000000000000000000e+01 6.407416429192724203e-12 1.484003829186800337e-09 6.602032699620943897e-10 3.273996003255444297e-10 8.360595552553497074e-06 6.871599530297447880e-07 -5.671051343299255314e-09 3.097982702824875795e-06 2.615600073590848940e-07 1.027296654489978946e-06
1.100000000000000000e+01 5.347458910509059564e-12 1.276481007542047981e-09 5.841163173890736632e-10 2.914391800464528046e-10 8.592255023369662004e-06 7.398627708227322588e-07 -4.284255594621081974e-09 3.246337824823220454e-06 2.899270734011560474e-07 1.079488253173053969e-06
